REGISTRO DE COMPLETADO — Distribución areal MSAVI 2024 en los 117 libros
Proyecto IN Piura | CUI 2669244 | ANIN - DIME - SESDI
Generado por msavi/completar_msavi_plantillas.py

bloque   superficie de catálogo | filas escritas por hoja
  [escrito ] M22B1    55.170 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M27B1    448.800 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M28B2    90.200 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M28B3    58.290 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M28B4    283.430 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M2B1     81.790 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M2B5     30.910 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M2B8     116.100 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M30B5    90.900 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M32B3    50.970 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M36B2    28.190 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B1     80.980 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B3     84.820 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B5     52.740 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B6     60.350 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B7     122.950 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B8     565.580 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M3B9     294.200 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M4B3     234.070 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M4B4     289.910 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M6B10    249.890 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M6B2-1   514.360 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M6B2-2   333.010 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M6B2-3   160.980 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M7B1     130.430 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M7B2     115.380 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M7B3     65.740 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M7B6     91.290 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M8B2     35.350 ha | clases=5 resumen=3 consistencia=1
  [escrito ] M9B1     355.360 ha | clases=5 resumen=3 consistencia=1

Libros procesados: 117   con incidencia: 0
