BLOQUE;MICROCUENCA;DISTRITO;PROVINCIA;AREA_HA;PCT_MAYOR_0_6139;PCT_0_4976_0_6139;PCT_0_3813_0_4976;PCT_0_2650_0_3813;PCT_MENOR_IGUAL_0_2650;HA_MAYOR_0_6139;HA_0_4976_0_6139;HA_0_3813_0_4976;HA_0_2650_0_3813;HA_MENOR_IGUAL_0_2650;PCT_BAJO_UMBRAL_0_4976;HA_BAJO_UMBRAL_0_4976;PCT_SOBRE_UMBRAL_0_4976;CLASE_MODAL;PIXELES;POLIG_EN_MAPA;MAPA_PNG
66;C1081-Q9591;CANCHAQUE;HUANCABAMBA;102.319;59.81;31.44;8.2;0.54;0.02;61.193;32.164;8.389;0.55;0.022;8.76;8.961;91.24;Vigor alto;2210938;1;66.png
67;C1076-Q9586;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;13.187;48.97;48.77;2.26;0.0;0.0;6.458;6.431;0.298;0.0;0.0;2.26;0.298;97.74;Vigor alto;1776022;1;67.png
69;C1076-Q9592;HUARMACA;HUANCABAMBA;19.418;8.92;10.4;68.29;12.39;0.0;1.733;2.02;13.26;2.405;0.0;80.67;15.665;19.33;Vigor bajo;1519577;2;69.png
70;C1076-Q9592;HUARMACA;HUANCABAMBA;22.39;57.36;37.92;4.72;0.0;0.0;12.843;8.489;1.058;0.0;0.0;4.72;1.058;95.28;Vigor alto;1904497;2;70.png
71;C1076-Q9593;HUARMACA;HUANCABAMBA;10.676;25.77;47.72;25.78;0.74;0.0;2.751;5.094;2.752;0.079;0.0;26.52;2.831;73.48;Vigor moderado;1357971;2;71.png
72;C1076-Q9592;HUARMACA;HUANCABAMBA;12.4;9.58;48.98;40.9;0.54;0.0;1.188;6.074;5.071;0.067;0.0;41.44;5.139;58.56;Vigor moderado;2025240;1;72.png
73;C1076-Q9592;HUARMACA;HUANCABAMBA;54.27;20.53;60.39;17.29;1.79;0.0;11.141;32.772;9.385;0.972;0.0;19.08;10.356;80.92;Vigor moderado;2194589;1;73.png
76;C1076-Q9593;HUARMACA;HUANCABAMBA;19.589;9.32;36.03;46.16;8.48;0.0;1.827;7.058;9.043;1.662;0.0;54.65;10.704;45.35;Vigor bajo;1585031;1;76.png
77;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;17.678;0.0;0.0;2.18;47.92;49.91;0.0;0.0;0.385;8.471;8.823;100.0;17.678;0.0;Suelo desnudo / no vegetal;1591530;3;MSAVI Bloque 77.png
78;C1086-Q9570;SANTO DOMINGO;MORROPON;35.096;84.1;14.16;1.68;0.06;0.0;29.515;4.969;0.591;0.021;0.0;1.74;0.612;98.26;Vigor alto;2245128;1;MSAVI Bloque 78.png
79;C1076-Q9587;CANCHAQUE;HUANCABAMBA;94.686;23.11;47.23;29.34;0.31;0.0;21.885;44.722;27.782;0.298;0.0;29.66;28.08;70.34;Vigor moderado;617933;1;79.png
80;C1076-Q9593;HUARMACA;HUANCABAMBA;28.786;49.52;33.51;13.66;3.09;0.22;14.256;9.646;3.933;0.888;0.063;16.97;4.884;83.03;Vigor alto;2157661;1;80.png
81;C1076-Q9585;CANCHAQUE;HUANCABAMBA;8.862;0.0;0.0;1.54;53.63;44.83;0.0;0.0;0.136;4.753;3.973;100.0;8.862;0.0;Vigor muy bajo;2428446;1;81.png
82;C1086-Q9570;SANTO DOMINGO;MORROPON;35.647;43.0;40.6;16.4;0.0;0.0;15.328;14.473;5.847;0.0;0.0;16.4;5.847;83.6;Vigor alto;1446032;2;MSAVI Bloque 82.png
83;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;24.253;0.0;0.63;14.29;56.2;28.88;0.0;0.154;3.465;13.63;7.004;99.37;24.1;0.63;Vigor muy bajo;2103180;1;MSAVI Bloque 83.png
84;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;5.099;0.0;0.0;1.64;31.69;66.68;0.0;0.0;0.083;1.616;3.4;100.0;5.099;0.0;Suelo desnudo / no vegetal;2245230;1;MSAVI Bloque 84.png
85;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;11.87;0.0;0.0;0.27;13.24;86.49;0.0;0.0;0.032;1.572;10.267;100.0;11.87;0.0;Suelo desnudo / no vegetal;1660639;1;MSAVI Bloque 85.png
86;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;29.812;0.0;0.13;4.65;44.27;50.94;0.0;0.039;1.387;13.199;15.188;99.87;29.774;0.13;Suelo desnudo / no vegetal;1003719;2;MSAVI Bloque 86.png
87;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;61.812;0.0;0.18;0.86;16.6;82.36;0.0;0.109;0.532;10.261;50.91;99.82;61.703;0.18;Suelo desnudo / no vegetal;1221242;3;MSAVI Bloque 87.png
M1B1;C1077-Q9580;BUENOS AIRES;MORROPON;188.458;0.06;0.46;12.29;67.22;19.97;0.115;0.859;23.168;126.68;37.635;99.48;187.484;0.52;Vigor muy bajo;744157;1;MSAVI M1B1.png
M2B1;C1076-Q9584;SALITRAL;MORROPON;81.704;0.0;0.0;4.3;69.76;25.94;0.0;0.0;3.51;56.998;21.196;100.0;81.704;0.0;Vigor muy bajo;808074;2;MSAVI M2B1.png
M2B5;C1076-Q9584;SALITRAL;MORROPON;30.622;0.0;1.1;11.0;59.99;27.91;0.0;0.337;3.37;18.37;8.545;98.9;30.285;1.1;Vigor muy bajo;786291;1;MSAVI M2B5.png
M2B8;C1076-Q9584;SAN MIGUEL DE EL FAIQUE;HUANCABAMBA;115.642;0.02;7.57;37.32;47.45;7.64;0.02;8.754;43.157;54.87;8.84;92.41;106.868;7.59;Vigor muy bajo;1936834;3;M2B8.png
M3B1;C1081-Q9582;SALITRAL;MORROPON;80.875;0.0;0.15;15.82;67.11;16.92;0.0;0.122;12.793;54.274;13.686;99.85;80.753;0.15;Vigor muy bajo;843064;2;MSAVI M3B1.png
M3B3;C1081-Q9582;SAN JUAN DE BIGOTE;MORROPON;84.539;0.0;0.12;6.14;66.75;26.99;0.0;0.103;5.192;56.427;22.816;99.88;84.435;0.12;Vigor muy bajo;517606;2;MSAVI M3B3.png
M3B5;C1081-Q9582;SAN JUAN DE BIGOTE;MORROPON;52.395;0.0;0.11;4.17;54.83;40.89;0.0;0.057;2.185;28.73;21.423;99.89;52.338;0.11;Vigor muy bajo;1209886;1;MSAVI M3B5.png
M3B6;C1081-Q9582;SAN JUAN DE BIGOTE;MORROPON;60.174;0.0;0.15;28.71;60.88;10.26;0.0;0.088;17.276;36.635;6.174;99.85;60.086;0.15;Vigor muy bajo;833680;2;MSAVI M3B6.png
M3B7;C1081-Q9582;SAN JUAN DE BIGOTE;MORROPON;122.433;0.01;3.95;33.37;60.52;2.15;0.012;4.839;40.856;74.092;2.634;96.04;117.582;3.96;Vigor muy bajo;755981;1;MSAVI M3B7.png
M3B8;C1081-Q9582;SAN JUAN DE BIGOTE;MORROPON;560.134;0.0;0.54;9.61;54.72;35.12;0.0;3.036;53.843;306.527;196.727;99.46;557.098;0.54;Vigor muy bajo;875931;2;MSAVI M3B8.png
M3B9;C1081-Q9582;SALITRAL;MORROPON;292.28;0.03;0.53;16.96;60.86;21.62;0.084;1.552;49.574;177.886;63.183;99.44;290.644;0.56;Vigor muy bajo;1526365;2;MSAVI M3B9.png
M4B3;C1076-Q9589;HUARMACA;HUANCABAMBA;232.328;0.01;1.32;16.9;59.43;22.34;0.03;3.058;39.269;138.063;51.908;98.67;229.24;1.33;Vigor muy bajo;1953390;1;M4B3.png
M4B4;C1076-Q9589;HUARMACA;HUANCABAMBA;288.448;0.0;0.71;15.11;63.02;21.15;0.011;2.059;43.576;181.785;61.017;99.28;286.378;0.72;Vigor muy bajo;940315;2;M4B4.png
M7B1;C1076-Q9581;SALITRAL;MORROPON;130.11;0.0;0.0;4.97;72.3;22.73;0.0;0.0;6.467;94.069;29.574;100.0;130.11;0.0;Vigor muy bajo;159323;2;MSAVI M7B1.png
M7B2;C1076-Q9581;SALITRAL;MORROPON;114.987;0.0;0.41;1.76;67.56;30.27;0.0;0.476;2.025;77.682;34.804;99.59;114.51;0.41;Vigor muy bajo;368044;2;MSAVI M7B2.png
M7B3;C1076-Q9581;SALITRAL;MORROPON;65.531;0.0;0.14;4.99;73.19;21.67;0.0;0.095;3.273;47.962;14.201;99.86;65.436;0.14;Vigor muy bajo;606393;2;MSAVI M7B3.png
M7B6;C1076-Q9581;SALITRAL;MORROPON;91.119;0.0;0.01;5.01;57.02;37.96;0.0;0.011;4.562;51.957;34.589;99.99;91.109;0.01;Vigor muy bajo;1561938;2;MSAVI M7B6.png
M8B2;C1096-Q9558;SANTO DOMINGO;MORROPON;35.037;3.4;50.54;37.11;8.91;0.05;1.192;17.707;13.001;3.121;0.017;46.06;16.139;53.94;Vigor moderado;328870;2;MSAVI M8B2.png
M9B1;C1096-Q9545;CHULUCANAS;MORROPON;353.47;0.06;0.62;11.84;65.3;22.17;0.225;2.204;41.858;230.806;78.376;99.31;351.041;0.69;Vigor muy bajo;2322394;1;MSAVI M9B1.png
M10B4;C1096-Q9547;CHULUCANAS;MORROPON;68.777;0.0;0.18;8.2;74.87;16.76;0.0;0.121;5.639;51.493;11.525;99.82;68.657;0.18;Vigor muy bajo;838743;1;MSAVI M10B4.png
M11B3;C1081-Q9583;SAN JUAN DE BIGOTE;MORROPON;105.792;0.16;10.84;44.08;41.11;3.81;0.172;11.472;46.634;43.489;4.025;88.99;94.148;11.01;Vigor bajo;1849476;1;MSAVI M11B3.png
M12B1;C1076-Q9588;HUARMACA;HUANCABAMBA;266.986;0.05;3.3;29.16;51.94;15.55;0.128;8.807;77.864;138.678;41.509;96.65;258.051;3.35;Vigor muy bajo;1604115;2;M12B1.png
